,image,vel,steer_pos,throttle_pos,objects
0,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
1,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
2,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,[]
3,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
4,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
5,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,[]
6,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
7,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
8,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,[]
9,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
10,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
11,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,[]
12,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
