,Steering,Throttle,Brake,Gear,Objects
0,0,0,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.7,', '9187.25,', '44.6122)', 'Rotation', '(0,', '0,', '90.6646)'], ['Id:', '449', 'Location:', '(18940,', '8637.29,', '324.612)', 'Rotation', '(0,', '-15,', '90.6646)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
1,0,0,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.7,', '9187.25,', '29.4351)', 'Rotation', '(0,', '0,', '90.6646)'], ['Id:', '449', 'Location:', '(18940,', '8637.29,', '309.435)', 'Rotation', '(0,', '-15,', '90.6646)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
2,0,0,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.7,', '9187.25,', '24.0473)', 'Rotation', '(0,', '0,', '90.6646)'], ['Id:', '449', 'Location:', '(18940,', '8637.29,', '304.047)', 'Rotation', '(0,', '-15,', '90.6646)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
3,0.144344,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.7,', '9187.29,', '9.14251)', 'Rotation', '(-0.000396729,', '0.000887925,', '90.6656)'], ['Id:', '449', 'Location:', '(18940.1,', '8637.32,', '289.134)', 'Rotation', '(-0.000410124,', '-14.9991,', '90.6657)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
4,0.0407104,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.7,', '9187.49,', '1.61098)', 'Rotation', '(-0.000305176,', '0.00249985,', '90.6718)'], ['Id:', '449', 'Location:', '(18940.1,', '8637.52,', '281.587)', 'Rotation', '(-0.000315546,', '-14.9975,', '90.6719)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
5,0.040695,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.6,', '9187.93,', '1.08433)', 'Rotation', '(-0.000488281,', '0.00456257,', '90.676)'], ['Id:', '449', 'Location:', '(18940.1,', '8637.95,', '281.041)', 'Rotation', '(-0.000504691,', '-14.9954,', '90.6761)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
6,0.0405958,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.6,', '9189.61,', '1.83131)', 'Rotation', '(-0.00183105,', '0.0181068,', '90.6648)'], ['Id:', '449', 'Location:', '(18940,', '8639.56,', '281.657)', 'Rotation', '(-0.00189579,', '-14.9819,', '90.6653)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
7,0.0399969,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.4,', '9192.87,', '2.5029)', 'Rotation', '(-0.00268555,', '0.0275666,', '90.6537)'], ['Id:', '449', 'Location:', '(18939.7,', '8642.77,', '282.238)', 'Rotation', '(-0.00278036,', '-14.9724,', '90.6544)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
8,0.0392207,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933.2,', '9197.52,', '2.91446)', 'Rotation', '(-0.00311279,', '0.0346974,', '90.6686)'], ['Id:', '449', 'Location:', '(18939.7,', '8647.39,', '282.581)', 'Rotation', '(-0.00322303,', '-14.9653,', '90.6695)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
9,0.0388047,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18933,', '9204.38,', '3.12862)', 'Rotation', '(-0.00430298,', '0.0454071,', '90.7374)'], ['Id:', '449', 'Location:', '(18940.1,', '8654.21,', '282.693)', 'Rotation', '(-0.00445387,', '-14.9546,', '90.7385)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
